Country,Utility long name
Colombia,Codensa S.A. E.S.P
Seychelles,Public Utilities Corporation
Brazil,Alupar Investimento S.A.
São Tomé and Príncipe,Empresa de Água E Electricidade
Afghanistan,Dabs Da Afghanistan Breshna Sherkat
Namibia,Nampower
Colombia,Empresas Públicas de Medellín E.S.P.
Albania,Operatori I Sistemit Te Transmetimit
Ghana,Volta River Authority
Kenya,Kenya Power and Lighting Company
Armenia,Ena - Electric Networks of Armenia Cjsc
Guinea-Bissau,Electricidade E Alguas de Guine-Bissa
Ghana,Electricity Company of Ghana
Malawi,Electricity Supply Corporation of Malawi
Botswana,Botswana Power Corporation
Namibia,Northern Regions Electricity Distributor
Jordan,Irbid District Electricity Distribution Company
Ukraine,Kharkivoblenergo Jsc
Mauritius,Central Electricity Board
India,Powergrid Corporation of India
Uganda,Umeme Limited
Senegal,Société Nationale D'Électricité Du Sénégal
Jordan,National Electric Power Company
Colombia,Enel Colombia 
Colombia,Centrales Eléctricas de Nariño S.A. E.S.P.
Chad,Société Nationale D'Electricité
Türkiye,Turkiye Elektrik Iletim Anonim Sirketi
Zambia,Zambia Electricity Supply Corporation
Tunisia,Tunisian Company of Electricity and Gas
Romania,Societatea Energetica Electrica Sa - Consolidated
Pakistan,Peshwar Electric Supply Company Limited
Pakistan,Hyderabad Electric Supply Company
Vietnam,Vietnam Electricity
Rwanda,Energy Utility Corporation Limited
Peru,Empresa Regional de Servicio Público de Electricidad Del Centro S.A.
Nigeria,Ikeja Electricity Distribution Company
Pakistan,Quetta Electric Supply Company Limited
Bolivia,Empresa de Luz Y Fuerza Eléctrica Cochabamba S.A.
Ukraine,"National Power Company ""Ukrenergo"""
Moldova,Moldelectrica
Albania,Operatori I Shperndarjes Se Energjise Elektrike Sha
"Micronesia, Fed. Sts.",Pohnpei Utilities Corporation
Ukraine,Regional Electricity Networks (Ukraine)
Jordan,Electricity Distribution Company
Sierra Leone,Electricity Distribution and Supply Authority
Morocco,Lyonnaise des Eaux de Casablanca
Chile,Transelec S.A.
Georgia,Georgian State Electrosystem Jsc
Lesotho,Lesotho Electricity Company
Kenya,Kenya Electricity Transmission Co.
Croatia,Hrvatska Elektroprivreda
Nigeria,Kano Electricity Distribution Company
Romania,Cntee Transelectrica Sa
Kazakhstan,Kazakhstan Electricity Grid Operating Company
West Bank and Gaza,Tubas Electricity Distribution Company
Nigeria,Yola Electricity Distribution Company
Zambia,Copperbelt Energy Corporation
Angola,Empresa Pública de Produção de Electricidade
Argentina,Empresa Distribuidora Y Comercializadora Norte S.A.
Argentina,Compañía de Transporte de Energía Eléctrica En Alta Tensión Transener S.A.
Sudan,Sudanese Electricity Transmission Company
Cabo Verde,Empresa de Electricidade E Àqua
Nigeria,Port Harcourt Electricity Distribution Company
Bangladesh,Bangladesh Power Development Board
Pakistan,Sukkur Electric Power Company
Bolivia,Compañía Eléctrica Sucre S.A.
Eswatini,Eswatini Electricity Company
Togo,Electric Power Company of Togo
India,Adani Electricity Mumbai Limited
Bosnia and Herzegovina,Jp Elektroprivreda Bih Dd Sarajevo
India,Bangalore Electricity Supply Company Limited
Argentina,Empresa Provincial de Energía de Córdoba
Philippines,National Power Corporation
Angola,Empresa Nacional de Distribução de Electricidade
Benin,Société Béninoise D'Energie Electrique
Mali,Energie Du Mali
Argentina,Empresa Distribuidora de Electricidad de Mendoza S.A.
Cameroon,Eneo Cameroun S.A.
Colombia,Caribemar de la Costa S.A.S. E.S.P
Thailand,Metropolitan Electricity Authority
India,Jodhpur Vidyut Vitran Nigam Limited
Kazakhstan,Kazakhstan Utility Systems
Thailand,Provincial Electricity Authority
Brazil,Transmissora Aliança de Energia Elétrica S.A.
Armenia,High Voltage Electrical Networks Cjsc
Ukraine,Pjsc Dtek Kyiv Regional Electric Networks
Kazakhstan,Astana Regional Distribution
Serbia,Distribution System Operator
Serbia,Electric Power Industry of Serbia
India,Purvanchal Vidyut Vitran Nigam Limited
Ghana,Ghana Grid Company
Tanzania,Tanzania Electric Supply Company
Bangladesh,Dhaka Power Distribution Company
Kyrgyz Republic,National Electric Grid of Kyrgyzstan
Côte d’Ivoire,Société des Energies de Cote D'Ivoire
Fiji,Energy Fiji Limited
Kazakhstan,Alatau Jariq
Ethiopia,Ethiopian Electric Power
Kosovo,"Transmission, System and Market Operator - Kostt J.S.C."
Uganda,Uganda Electricity Generation Company
Liberia,Liberia Electricity Corporation
Pakistan,Faisalabad Electric Supply Company Limited
Saudi Arabia,Saudi Electricity Company
Malaysia,Tenaga Nasional Berhad
Uzbekistan,Toshkent Shahar Elektr Tarmoqlari Korxonasi
Ecuador,Empresa Eléctrica Pública Estratégica Corporación Nacional de Electricidad
India,Dakshin Gujarat Vij Company Limited
Colombia,Intercolombia S.A. E.S.P
Niger,Société Nigérienne D'Electricité
Marshall Islands,Marshalls Energy Company
Uganda,Uganda Electricity Transmission Company
West Bank and Gaza,Jerusalem District Electricity Company
Argentina,Energia de Entre Rios Sociedad Anonima
Dominica,Dominica Electricity Services Limited
Zimbabwe,Zimbabwe Electricity Transmission and Distribution Company
Nigeria,Abuja Electricity Distribution Company
"Gambia, The",Gambia Water & Electricity Company
Nepal,Nepal Electricity Authority
Oman,Oman Electricity Transmission Company
Bangladesh,Power Grid Company of Bangladesh Ltd.
Côte d’Ivoire,Compagnie Ivoirienne D'Electricité
Sudan,Sudanese Thermal Power Generating Company
Pakistan,Islamabad Electric Supply Company
India,West Bengal State Electricity Distribution Company Limited
India,Madhya Pradesh Madhya Kshetra Vityut Vitran Company Limited
Bangladesh,West Zone Power Distributions Company Limited
Azerbaijan,Azerenerji
Solomon Islands,Solomon Islands Electricity Authority
Pakistan,Lahore Electric Supply Company Limited
Burundi,Régie de Production et de Distribution D'Eau et D'Electricité
Mauritania,Société Mauritanienne D'Électricité
India,Tata Power Delhi Distribution Limited
Namibia,Erongo Regional Electricity Distributor
Brazil,Companhia de Transmissão de Energia Elétrica Paulista S.A
Comoros,Société Nationale de L’Electricité des Comores
St. Lucia,St. Lucia Electricity Services Limited
India,Kanpur Electricity Supply Company Limited
"Congo, Dem. Rep.",Société Nationale D'Electricité
Pakistan,Multan Electric Power Company Limited
Namibia,Central North Regional Electricity Distributor
Montenegro,Elektroprivreda Crne Gore Ad Niksic
Nigeria,Jos Electricity Distribution
Thailand,Electricity Generating Authority of Thailand
Kyrgyz Republic,Severelectro (Kyrgyz Republic)
Colombia,Empresa de Energía Del Quindío S.A. E.S.P.
Pakistan,K-Electric Limited
Indonesia,Perusahaan Perseroan (Persero) Pt Perusahaan Listrik Negara
Bolivia,Distribuidora de Electricidad de la Paz S.A.
Uzbekistan,Regional Electrical Power Networks
Ethiopia,Ethiopian Electric Utility
Paraguay,Administración Nacional de Electricidad
Nigeria,Eko Electricity Distribution Company
Burkina Faso,Société Nationale D'Électricité Du Burkina Faso
Papua New Guinea,Png Power Limited
West Bank and Gaza,Northern Electricity Distribution Company
Mozambique,Electricidade de Moçambique
Nigeria,Transmission Company of Nigeria
Uruguay,Administración Nacional de Usinas Y Trasmisiones Eléctricas
Nigeria,Ibadan Electricity Distribution Company
Gabon,Soceite D'Energie et D'Eau Du Gabon
Azerbaijan,Azerishig
Peru,Enel Distribución Perú S.A.A.
Ecuador,A Empresa Eléctrica Regional Centro Sur C.A.
Sudan,Sudanese Electricity Distribution Company
Madagascar,Jiro Sy Rano Malagasy
Nigeria,Kaduna Electricity Distribution Company
Kenya,Kenya Electricity Generation Company
India,Andhra Pradesh Eastern Power Distribution Company Limited
Jordan,Jordan Electric Power Company
India,Dakshin Haryana Bijli Vitran Nigam Limited
Tajikistan,Pamir Energy Company
Pakistan,National Transmission & Despatch Company
West Bank and Gaza,Southern Electric Company
Nigeria,Benin Electricity Distribution Company
Angola,Empresa Rede Nacional de Transporte de Electricidade
Zimbabwe,Zimbabwe Power Company
Morocco,Régie Autonome de Distribution D'Eau et D'Electricité de Marrakech
India,Maharashtra State Electricty Distribution Company Limited
Nigeria,Enugu Electricity Distribution Company
South Africa,Eskom Holdings Soc Ltd
Uzbekistan,National Electric Grid of Uzbekistan
Kazakhstan,Akmola Electricity Distribution Company
Pakistan,Gurjanwala Electric Power Company Limited
Mexico,Comision Federal de Electricidad
Central African Republic,Energie Centrafricaine
Tajikistan,Barqi Tojik
Colombia,Electrificadora de Santander S.A. E.S.P
Sudan,Sudanese Hydro and Renewable Energy Generation Company
Brazil,Companhia Paulista de Força Luz
Guinea,Electricité de Guinée
Argentina,Empresa Provincial de la Energía de Santa Fé
